Unnamed: 0,번호,제목,저자,출판사,출판일
,8,Thermal-Aware and DVFS-Enabled Big Data Task Scheduling for Data Centers,"Liu, H.; Liu, B.; Yang, L. T.; Lin, M.; Deng, Y.; Bilal, K.; Khan, S. U.",unknown,2018
,9,Resting-State fMRI Functional Connectivity: Big Data Preprocessing Pipelines and Topological Data Analysis,"Phinyomark, A.; Ibanez-Marcelo, E.; Petri, G.",unknown,2017
,10,Semantics all the way down: the Semantic Web and open science in big earth data,"Narock, Tom; Shepherd, Adam",John Wiley & Sons Ltd,2017
,11,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,12,Big data: new methods and ideas in geological scientific research,"Qi, Zhang; Xuelong, Liu",John Wiley & Sons Ltd,2019
,13,Big data and analytics: a data management perspective in public administration,"Mittal, Prabhat",Inderscience,2020
,14,GSio: A programmatic interface for delivering Big Earth data-as-a-service,"Larraondo, Pablo R.; Pringle, Sean; Guo, Jian; Antony, Joseph; Evans, Ben",John Wiley & Sons Ltd,2017
,15,Can Big Data Machines Analyze Stock Market Sentiment?,unknown,Mary Ann Leibert,2014
,16,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2019
,17,The Role of Teamwork in the Analysis of Big Data: A Study of Visual Analytics and Box Office Prediction,unknown,Mary Ann Leibert,2017
,18,Big Data Literature Search,unknown,Mary Ann Leibert,2014
,19,A new big data approach based on geoecological information-modeling system,"Varotsos, Costas A.; Krapivin, Vladimir F.",John Wiley & Sons Ltd,2017
,20,Exploiting big earth data from space – first experiences with the timescan processing chain,"Esch, T.; Üreyen, S.; Zeidler, J.; Metz–Marconcini, A.; Hirner, A.; Asamer, H.; Tum, M.; Böttcher, M.; Kuchar, S.; Svaton, V.; Marconcini, M.",John Wiley & Sons Ltd,2018
,21,A view-based model of data-cube to support big earth data systems interoperability,"Nativi, Stefano; Mazzetti, Paolo; Craglia, Max",John Wiley & Sons Ltd,2017
,22,The Uses of Big Data in Cities,unknown,Mary Ann Leibert,2014
,23,Optimizing Sentinel-2 image selection in a Big Data context,"Kempeneers, P.; Soille, P.",John Wiley & Sons Ltd,2017
,24,Big Earth Data: a comprehensive analysis of visualization analytics issues,"Merritt, Patrick; Bi, Haixia; Davis, Bradley; Windmill, Christopher; Xue, Yong",John Wiley & Sons Ltd,2018
,25,"Global water cycle and remote sensing big data: overview, challenge, and opportunities","Cui, Yaokui; Chen, Xi; Gao, Jinyu; Yan, Binyan; Tang, Guoqiang; Hong, Yang",John Wiley & Sons Ltd,2018
,26,"Comparative study of big data of global adakites and mineralization-related granite in the Geza arc metallogenic belt, northwest Yunnan, Southwest China","Xuelong, Liu; Wenchang, Li; Qi, Zhang; Na, Zhang; Changzhen, Zhang; Ying, Luo; Shuaishuai, Wang; Fucheng, Yang; Jianhang, Chen; Zhenhuan, Li",John Wiley & Sons Ltd,2018
,27,Efficient utilization of multi-core processors and many-core co-processors on supercomputer beacon for scalable geocomputation and geo-simulation over big earth data,"Lai, Chenggang; Shi, Xuan; Huang, Miaoqing",John Wiley & Sons Ltd,2018
,28,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,29,Big spatial vector data management: a review,"Yao, Xiaochuang; Li, Guoqing",John Wiley & Sons Ltd,2018
,30,The challenges of a Big Data Earth,"Boulton, Geoffrey",John Wiley & Sons Ltd,2018
,31,Big earth data analytics on Sentinel-1 and Landsat imagery in support to global human settlements mapping,"Corbane, Christina; Pesaresi, Martino; Politis, Panagiotis; Syrris, Vasileios; Florczyk, Aneta J.; Soille, Pierre; Maffenini, Luca; Burger, Armin; Vasilev, Veselin; Rodriguez, Dario; Sabo, Filip; Dijkstra, Lewis; Kemper, Thomas",John Wiley & Sons Ltd,2017
,32,Labor Economists Get Their Microscope: Big Data and Labor Market Analysis,unknown,Mary Ann Leibert,2015
,33,"Interview with Dr. Silvio Carta, Author of the Book Big Data, Code and the Discrete City (Routledge 2019)","Carta, Silvio",Mary Ann Leibert,2019
,34,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2020
,35,Furthest-Pair-Based Binary Search Tree for Speeding Big Data Classification Using K-Nearest Neighbors,"Hassanat, A. B. A.",Mary Ann Leibert,2018
,36,Multiple Targets Tracking with Big Data-Based Measurement for Extended Binary Phase Shift Keying Transceiver,"Yu, Yao; Zhao, Junhui; Lenan, Wu",Mary Ann Leibert,2019
,37,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,38,Combining Human Computing and Machine Learning to Make Sense of Big (Aerial) Data for Disaster Response,unknown,Mary Ann Leibert,2016
,39,Big Earth data analytics: a survey,"Yang, Chaowei; Yu, Manzhu; Li, Yun; Hu, Fei; Jiang, Yongyao; Liu, Qian; Sha, Dexuan; Xu, Mengchao; Gu, Juan",John Wiley & Sons Ltd,2019
,40,Big uncertain data of multiple sensors efficient processing with high order multi-hypothesis: an evidence theoretic approach,"Jafari, Hossein; Li, Xiangfang; Qian, Lijun; Aved, Alexander J.; Kroecker, Timothy S.",Inderscience,2018
,41,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,42,Big Data and Predictive Analytics in Health Care,unknown,Mary Ann Leibert,2014
,43,Big Data As an Enabler of Primary Education,unknown,Mary Ann Leibert,2016
,44,Unsupervised Tensor Mining for Big Data Practitioners,unknown,Mary Ann Leibert,2016
,45,Data behaviours model for Big Data visual analytics,"Zhang, Jinson; Huang, Mao Lin",Inderscience,2016
,46,SOOM: Sort-Based Optimizer for Big Data Multi-Query,"Sahal, Radhya; Khafagy, Mohammed H.; Omara, Fatma A.",Mary Ann Leibert,2020
,47,The Structural Consequences of Big Data-Driven Education,unknown,Mary Ann Leibert,2017
,48,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,49,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,50,The U.S. Army Person-Event Data Environment: A MilitaryÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“Civilian Big Data Enterprise,unknown,Mary Ann Leibert,2015
,51,Does Medical School Training Relate to Practice? Evidence from Big Data,unknown,Mary Ann Leibert,2015
,52,"Big Data, Little Data, and Care Coordination for Medicare Beneficiaries with Medigap Coverage",unknown,Mary Ann Leibert,2015
,53,"Geospatial semantics, ontology and knowledge graphs for Big Earth data","Zhu, Yunqiang",John Wiley & Sons Ltd,2019
,54,Common Big Data Challenges and How to Overcome Them,unknown,Mary Ann Leibert,2014
,55,Scalable Data Quality for Big Data: The Pythia Framework for Handling Missing Values,unknown,Mary Ann Leibert,2015
,56,"Big Data, Efficient Markets, and the End of Daily Fantasy Sports As We Know It?","Urbaczewski, Andrew; Elmore, Ryan",Mary Ann Leibert,2018
,57,A generalized supervised classification scheme to produce provincial wetland inventory maps: an application of Google Earth Engine for big geo data processing,"Amani, Meisam; Brisco, Brian; Afshar, Majid; Mirmazloumi, S. Mohammad; Mahdavi, Sahel; Mirzadeh, Sayyed Mohammad Javad; Huang, Weimin; Granger, Jean",John Wiley & Sons Ltd,2019
,58,Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier,"Assunção, Renato; Pelechrinis, Konstantinos",Mary Ann Leibert,2019
,59,Big Scholarly Data: A Survey,"Xia, F.; Wang, W.; Bekele, T. M.; Liu, H.",unknown,2017
,60,Research Dilemmas with Behavioral Big Data,unknown,Mary Ann Leibert,2017
,61,Scientific Training in the Era of Big Data: A New Pedagogy for Graduate Education,unknown,Mary Ann Leibert,2017
,62,Diversity in Big Data: A Review,unknown,Mary Ann Leibert,2017
,63,Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier,"Assunção, Renato; Pelechrinis, Konstantinos",Mary Ann Leibert,2018
,64,The role of big Earth data in understanding climate change,"Jia, Gensuo",John Wiley & Sons Ltd,2020
,65,"Big data analysis of swimming pools' impact on household electric intensity in San Antonio, Texas","Elnakat, Afamia; Gomez, Juan D.; Roberts, Jason; Wright, Martha",Inderscience,2015
,66,A comparison on scalability for batch big data processing on Apache Spark and Apache Flink,"García-Gil, Diego; Ramírez-Gallego, Sergio; García, Salvador; Herrera, Francisco",Springer Nature,2017
,67,Correction to: Big Data 2016;4:60–66,unknown,Mary Ann Leibert,2016
,68,Big Earth data facilitates sustainable development goals,"Guo, Huadong",John Wiley & Sons Ltd,2020
,69,"Deep Learning on Big, Sparse, Behavioral Data","De Cnudde, Sofie; Ramon, Yanou; Martens, David; Provost, Foster",Mary Ann Leibert,2019
,70,New discrimination diagrams for basalts based on big data research,"Zhang, Qi; Sun, Weidong; Zhao, Yong; Yuan, Fanglin; Jiao, Shoutao; Chen, Wanfeng",John Wiley & Sons Ltd,2019
,71,National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors,unknown,Mary Ann Leibert,2015
,72,Big Earth data: A new frontier in Earth and information sciences,"Guo, Huadong",John Wiley & Sons Ltd,2017
,73,Big Data on Robotics,unknown,Mary Ann Leibert,2016
,74,Big Data in Healthcare: Opportunities and Challenges,unknown,Mary Ann Leibert,2015
,75,Computational Propaganda and Political Big Data: Moving Toward a More Critical Research Agenda,unknown,Mary Ann Leibert,2017
,76,Recent advance in earth observation big data for hydrology,"Chen, Lajiao; Wang, Lizhe",John Wiley & Sons Ltd,2018
,77,Using Big Data to Understand the Human Condition: The Kavli Human Project,unknown,Mary Ann Leibert,2015
,78,Big data drives the development of Earth science,"Guo, Huadong",John Wiley & Sons Ltd,2017
,79,Big Data for Social Good,unknown,Mary Ann Leibert,2015
,80,An Exercise in Exploring Big Data for Producing Reliable Statistical Information,unknown,Mary Ann Leibert,2016
,81,A Message from the Editor-in-Chief of Big Data,unknown,Mary Ann Leibert,2017
,82,TV Audience Measurement with Big Data,unknown,Mary Ann Leibert,2014
,83,Curating Big Data Made Simple: Perspectives from Scientific Communities,unknown,Mary Ann Leibert,2014
,84,Big Data and the Rise of Machines in Financial Markets,unknown,Mary Ann Leibert,2014
,85,Big data ensemble clinical prediction for healthcare data by using deep learning model,"Rallapalli, Sreekanth; Gondkar, R.R.",Inderscience,2018
,86,Big Data Based Security Analytics for Protecting Virtualized Infrastructures in Cloud Computing,"Win, T. Y.; Tianfield, H.; Mair, Q.",unknown,2018
,87,Stewardship and analysis of big Earth observation data,"Wang, Lizhe; Yan, Jining",John Wiley & Sons Ltd,2020
,88,"Bring it on, Big Data: Beyond the Hype",unknown,Mary Ann Leibert,2014
,89,Big Data 2.0: Cataclysm or Catalyst?,unknown,Mary Ann Leibert,2014
,90,Strength in Numbers: Using Big Data to Simplify Sentiment Classification,unknown,Mary Ann Leibert,2017
,91,STGI：a spatio-temporal grid index model for marine big data,"Qu, Tengteng; Wang, Lizhe; Yu, Jian; Yan, Jining; Xu, Guilin; Li, Meng; Cheng, Chengqi; Hou, Kaihua; Chen, Bo",John Wiley & Sons Ltd,2020
,92,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2015
,93,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2014
,94,Agile Big Data Analytics for Web-Based Systems: An Architecture-Centric Approach,"Chen, H.; Kazman, R.; Haziyev, S.",unknown,2016
,95,A big data analytics framework for border crossing transportation,"Wang, Haibo; Huo, Da; Xu, Yaquan",Inderscience,2017
,96,Scalable big data modelling,"Patel, Jayesh",Inderscience,2021
,97,Improved big data stock index prediction using deep learning with CNN and GRU,"Eapen, Jithin; Verma, Abhishek; Bein, Doina",Inderscience,2021
,98,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,99,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,100,A big data-based RF localisation method for unmanned search and rescue,"Wang, Ju; Liu, Hongzhe; Bao, Hong; Montoya, Cesar Flores; Hinton, James",Inderscience,2018
